Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
FILOZOFSKI VESTNIK,FILOZ VESTN,AHCI,PHILOSOPHY,0.1,N/A,0353-4510,20884
Hesperis-Tamuda,HESPERIS-TAMUDA,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0018-1005,20884
Journal of Military and Strategic Studies,J MIL STRATEG STUD,ESCI,INTERNATIONAL RELATIONS,0.1,Q4,1488-559X,20884
Journal of Modern Periodical Studies,J MOD PERIOD STUD,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1947-6574,20884
LETTERE ITALIANE,LETT ITAL,AHCI,"LITERATURE, ROMANCE",0.1,N/A,0024-1334,20884
MONUMENTA NIPPONICA,MONUM NIPPON,AHCI,ASIAN STUDIES,0.1,N/A,0027-0741,20884
Musicology Today,MUSICOL TODAY-POLAND,ESCI,MUSIC,0.1,N/A,1734-1663,20884
NUOVA RIVISTA STORICA,NUOVA RIV STORICA,AHCI,HISTORY,0.1,Q3,0029-6236,20884
Precedente,PRECEDENTE,ESCI,LAW,0.1,Q4,1657-6535,20884
Revista de Filosofia-Madrid,REV FILOS-MADR,ESCI,PHILOSOPHY,0.1,N/A,0034-8244,20884
South African Journal of Art History,SOUTH AFR J ART HIST,ESCI,ART,0.1,N/A,0258-3542,20884
Stoa,STOA,ESCI,PHILOSOPHY,0.1,N/A,2007-1868,20884
Studia et Documenta,STUD DOC,ESCI,RELIGION,0.1,N/A,1970-4879,20884
STUDIES IN LATIN AMERICAN POPULAR CULTURE,STUD LAT AM POP CULT,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0730-9139,20884
Teatro e Storia,TEATR STOR,ESCI,THEATER,0.1,N/A,0394-6932,20884
Toronto Journal of Theology,TOR J THEOL,ESCI,RELIGION,0.1,N/A,0826-9831,20884
Women and Music-A Journal of Gender and Culture,WOMEN MUSIC,ESCI,Multiple,0.1,Q4,1090-7505,20884
Zeitschrift der Gesellschaft fur Musiktheorie,Z GES MUSIKTHEORIE,ESCI,MUSIC,0.1,N/A,1862-6750,20884
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,AEVUM-RASS SCI STOR,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0001-9593,20884
Agathos-An International Review of the Humanities and Social Sciences,AGATHOS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2069-1025,20884
AMERICAN IMAGO,AM IMAGO,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0065-860X,20884
Anesthesie & Reanimation,ANESTH REANIM,ESCI,ANESTHESIOLOGY,0.1,Q4,2352-5800,20884
Anuario de Historia Regional y de las Fronteras,ANU HIST REG FRONT,ESCI,HISTORY,0.1,Q3,0122-2066,20884
Archives and Manuscripts,ARCH MANUSCR,ESCI,INFORMATION SCIENCE & LIBRARY SCIENCE,0.1,Q4,0157-6895,20884
Arquitetura Revista,ARQUITETURA REV,AHCI,ARCHITECTURE,0.1,N/A,1808-5741,20884
Eighteenth-Century Music,EIGHTEENTH-CENT MUSI,AHCI,MUSIC,0.1,N/A,1478-5706,20884
META,META-MONTREAL,AHCI,LANGUAGE & LINGUISTICS,0.1,N/A,0026-0452,20884
Psychological Perspectives-A Quarterly Journal of Jungian Thought,PSYCHOL PERSPECT,ESCI,"PSYCHOLOGY, PSYCHOANALYSIS",0.1,Q4,0033-2925,20884
RLC-REVUE DE LITTERATURE COMPAREE,RLC-REV LIT COMP,AHCI,LITERATURE,0.1,N/A,0035-1466,20884
Spektrum der Augenheilkunde,SPEKTRUM AUGENHEILKD,ESCI,OPHTHALMOLOGY,0.1,Q4,0930-4282,20884
ZBORNIK PRAVNOG FAKULTETA SVEUCILISTA U RIJECI,ZB PRAVNOG FAK SVEUC,ESCI,LAW,0.1,Q4,1330-349X,20884
Zeitschrift fur Interkulturelle Germanistik,Z INTERKULT GER,ESCI,Multiple,0.1,Q4,1869-3660,20884
American Periodicals,AM PERIOD,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1054-7479,20884
Archaeologia Maritima Mediterranea-An International Journal on Underwater Archaeology,ARCHAEOL MARIT MEDIT,ESCI,ARCHAEOLOGY,0.1,N/A,1724-6091,20884
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,ARCH REFORMATIONSGES,AHCI,HISTORY,0.1,Q3,0003-9381,20884
ARCHIVES OF AMERICAN ART JOURNAL,ARCH AM ART J,AHCI,ART,0.1,N/A,0003-9853,20884
Art Style,ART STYLE,ESCI,ART,0.1,N/A,2596-1802,20884
Azafea-Revista de Filosofia,AZAFEA,ESCI,PHILOSOPHY,0.1,N/A,0213-3563,20884
Bulletin of the South Ural State University Series-Mathematical Modelling Programming & Computer Software,BULL SOUTH URAL STAT,ESCI,"MATHEMATICS, APPLIED",0.1,Q4,2071-0216,20884
Cadernos de Dereito Actual,CAD DEREITO ACTUAL,ESCI,LAW,0.1,Q4,2340-860X,20884
Cartagine-Studi e Ricerche,CARTAGINE,ESCI,ARCHAEOLOGY,0.1,N/A,2532-3563,20884
ETUDES PHILOSOPHIQUES,ETUD PHILOS,AHCI,PHILOSOPHY,0.1,N/A,0014-2166,20884
European Journal of American Studies,EUR J AM STUD,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1991-9336,20884
Fragmentos de Filosofia,FRAGM FILOS,ESCI,PHILOSOPHY,0.1,N/A,1132-3329,20884
Hypertension Research in Pregnancy,HYPERTENS RES PREGNA,ESCI,OBSTETRICS & GYNECOLOGY,0.1,Q4,2187-5987,20884
Literature and Aesthetics,LIT AESTHET,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1036-9368,20884
PORTUGUESE STUDIES,PORTUGUESE STUD,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0267-5315,20884
Prilozi Instituta za Arheologiju u Zagrebu,PRIL INST ARHEOL ZAG,ESCI,ARCHAEOLOGY,0.1,N/A,1330-0644,20884
Rawal Medical Journal,RAWAL MED J,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,0303-5212,20884
Religious Studies and Theology,RELIG STUD THEOL,ESCI,RELIGION,0.1,N/A,0829-2922,20884
